Ticker,Price,Sector
"L 
",46.26,Financials 
"LOW 
",71.38,Consumer Discretionary 
"LYB 
",90.05,Materials 
"MTB 
",154.64,Financials 
"MAC 
",70.37,Real Estate 
"IRM 
",34.1,Real Estate 
"JEC 
",58.02,Industrials 
"JBHT 
",98.03,Industrials 
"SJM 
",133,Consumer Staples 
"JNJ 
",114.7,Health Care 
"JCI 
",43.09,Industrials 
"JPM 
",83.94,Financials 
"JNPR 
",27.34,Information Technology 
"KSU 
",84.96,Industrials 
"K 
",71.98,Consumer Staples 
"KEY 
",18.13,Financials 
"KMB 
",116.4,Consumer Staples 
"KIM 
",25.5,Real Estate 
"KMI 
",22.44,Energy 
"KLAC 
",81.63,Information Technology 
"KSS 
",41.21,Consumer Discretionary 
"KHC 
",88.35,Consumer Staples 
"KR 
",34.91,Consumer Staples 
"LB 
",61.87,Consumer Discretionary 
"LLL 
",148.49,Industrials 
"LH 
",134.39,Health Care 
"LRCX 
",111.24,Information Technology 
"LEG 
",47.45,Industrials 
"LEN 
",44.3,Consumer Discretionary 
"LVLT 
",58.84,Telecommunications Services 
"LUK 
",23.2,Financials 
"LLY 
",77.53,Health Care 
"LNC 
",67.06,Financials 
"LLTC 
",62.45,Information Technology 
"LKQ 
",31.87,Consumer Discretionary 
"LMT 
",254.07,Industrials 
"L 
",46.26,Financials 
"LOW 
",71.38,Consumer Discretionary 
"LYB 
",90.05,Materials 
"MTB 
",154.64,Financials 
"MAC 
",70.37,Real Estate 
"M 
",29.44,Consumer Discretionary 
"MNK 
",46.53,Health Care 
"MRO 
",17.33,Energy 
"MPC 
",48.9,Energy 
"MAR 
",83,Consumer Discretionary 
"MMC 
",68.17,Financials 
"MLM 
",225.36,Materials 
"MAS 
",32.1,Industrials 
"MA 
",108.66,Information Technology 
"MAT 
",30.47,Consumer Discretionary 
"MKC 
",93.06,Consumer Staples 
"MCD 
",122.71,Consumer Discretionary 
"MCK 
",149.74,Health Care 
"MJN 
",75.25,Consumer Staples 
"MDT 
",75.67,Health Care 
"MRK 
",61.17,Health Care 
"MET 
",54.06,Financials 
"MTD 
",421.73,Health Care 
"KORS 
",43.23,Consumer Discretionary 
"MCHP 
",66.5,Information Technology 
"MU 
",22.32,Information Technology 
"MSFT 
",62.5,Information Technology 
"MAA 
",96.32,Real Estate 
"MHK 
",204.09,Consumer Discretionary 
"TAP 
",98.2,Consumer Staples 
"MDLZ 
",45.03,Consumer Staples 
"MON 
",108.1,Materials 
"MNST 
",43.46,Consumer Staples 
"MCO 
",99.33,Financials 
"MS 
",42.86,Financials 
"MOS 
",30.6,Materials 
"MSI 
",81.65,Information Technology 
"MUR 
",31.24,Energy 
"MYL 
",37.19,Health Care 
"NDAQ 
",67.25,Financials 
"NOV 
",37.42,Energy 
"NAVI 
",16.05,Financials 
"NTAP 
",35.99,Information Technology 
"NFLX 
",133.25,Information Technology 
"NWL 
",47.55,Consumer Discretionary 
"NFX 
",41.67,Energy 
"NEM 
",35.26,Materials 
"NWSA 
",12.14,Consumer Discretionary 
"NWS 
",12.55,Consumer Discretionary 
"NEE 
",120.03,Utilities 
"NLSN 
",41.89,Industrials 
"NKE 
",53.27,Consumer Discretionary 
"NI 
",22.52,Utilities 
"NBL 
",39.79,Energy 
"JWN 
",44.31,Consumer Discretionary 
"NSC 
",109.97,Industrials 
"NTRS 
",83.99,Financials 
"NOC 
",230.24,Industrials 
"NRG 
",15.26,Utilities 
"NUE 
",62.38,Materials 
"NVDA 
",102.95,Information Technology 
"ORLY 
",280.81,Consumer Discretionary 
"OXY 
",69.32,Energy 
"OMC 
",85.17,Consumer Discretionary 
"OKE 
",56.56,Energy 
"ORCL 
",39.19,Information Technology 
"PCAR 
",66.31,Industrials 
"PH 
",144.4,Industrials 
"PDCO 
",41.21,Health Care 
"PAYX 
",61.04,Information Technology 
"PYPL 
",41.35,Information Technology 
"PNR 
",58.74,Industrials 
"PBCT 
",19.29,Financials 
"PEP 
",102.74,Consumer Staples 
"PKI 
",52.43,Health Care 
"PRGO 
",76.46,Health Care 
"PFE 
",32.03,Health Care 
"PCG 
",61.46,Utilities 
"PM 
",93.49,Consumer Staples 
"PSX 
",84.13,Energy 
"PNW 
",77.89,Utilities 
"PXD 
",183.01,Energy 
"PBI 
",16.21,Industrials 
"PNC 
",116.32,Financials 
"RL 
",89.29,Consumer Discretionary 
"PPG 
",96.69,Materials 
"PPL 
",34.54,Utilities 
"PX 
",116.6,Materials 
"PCLN 
",1541.86,Consumer Discretionary 
"PFG 
",59.48,Financials 
"PG 
",84.93,Consumer Staples 
"PGR 
",36.35,Financials 
"PLD 
",52.85,Real Estate 
"PRU 
",105.59,Financials 
"PEG 
",44.18,Utilities 
"PSA 
",215.6,Real Estate 
"PHM 
",19.21,Consumer Discretionary 
"PVH 
",93.36,Consumer Discretionary 
"QRVO 
",59.17,Information Technology 
"PWR 
",34.28,Industrials 
"QCOM 
",65.13,Information Technology 
"DGX 
",92.96,Health Care 
"RRC 
",34.35,Energy 
"RTN 
",147.02,Industrials 
"O 
",59.78,Real Estate 
"RHT 
",73.6,Information Technology 
"REGN 
",362.95,Health Care 
"RF 
",14.03,Financials 
"RSG 
",57.36,Industrials 
"RAI 
",58,Consumer Staples 
"RHI 
",49.35,Industrials 
"ROK 
",139.96,Industrials 
"COL 
",89.6,Industrials 
"ROP 
",186.91,Industrials 
"ROST 
",66.9,Consumer Discretionary 
"RCL 
",85.51,Consumer Discretionary 
"R 
",75.76,Industrials 
"CRM 
",75.78,Information Technology 
"SCG 
",72.36,Utilities 
"SLB 
",87.48,Energy 
"SNI 
",75.34,Consumer Discretionary 
"STX 
",37.24,Information Technology 
"SEE 
",48.6,Materials 
"SRE 
",103.78,Utilities 
"SHW 
",286.96,Materials 
"SIG 
",82.03,Consumer Discretionary 
"SPG 
",186.57,Real Estate 
"SWKS 
",79.27,Information Technology 
"SLG 
",108.87,Real Estate 
"SNA 
",175.2,Consumer Discretionary 
"SO 
",49.62,Utilities 
"LUV 
",50.38,Industrials 
"SWN 
",9.69,Energy 
"SE 
",42.19,Energy 
"SPGI 
",114.4,Financials 
"SWK 
",120.2,Consumer Discretionary 
"SPLS 
",9.29,Consumer Discretionary 
"SBUX 
",58.45,Consumer Discretionary 
"STT 
",80.15,Financials 
"SRCL 
",80.51,Industrials 
"SYK 
",122.4,Health Care 
"STI 
",54.36,Financials 
"SYMC 
",26.41,Information Technology 
"SYF 
",35.9,Financials 
"SYY 
",55.25,Consumer Staples 
"TROW 
",73.29,Financials 
"TGT 
",66.85,Consumer Discretionary 
"TEL 
",69.82,Information Technology 
"TGNA 
",21.27,Consumer Discretionary 
"TDC 
",28.72,Information Technology 
"TSO 
",81.63,Energy 
"TXN 
",74.38,Information Technology 
"TXT 
",49.09,Industrials 
"COO 
",183.01,Health Care 
"HSY 
",105.65,Consumer Staples 
"TRV 
",118.54,Financials 
"TMO 
",144.66,Health Care 
"TIF 
",79.94,Consumer Discretionary 
"TWX 
",95.11,Consumer Discretionary 
"TJX 
",76.68,Consumer Discretionary 
"TMK 
",73.81,Financials 
"TSS 
",53.79,Information Technology 
"TSCO 
",76.41,Consumer Discretionary 
"TDG 
",250.89,Industrials 
"RIG 
",15.3,Energy 
"TRIP 
",52.88,Consumer Discretionary 
"FOXA 
",30.27,Consumer Discretionary 
"FOX 
",29.52,Consumer Discretionary 
"TSN 
",62.74,Consumer Staples 
"UDR 
",36.07,Real Estate 
"ULTA 
",265.5,Consumer Discretionary 
"USB 
",50.56,Financials 
"UA 
",25.35,Consumer Discretionary 
"UAA 
",29.35,Consumer Discretionary 
"UNP 
",103.77,Industrials 
"UAL 
",74,Industrials 
"UNH 
",157.74,Health Care 
"UPS 
",114.96,Industrials 
"URI 
",111.02,Industrials 
"UTX 
",110.42,Industrials 
"UHS 
",113.6,Health Care 
"UNM 
",44.49,Financials 
"URBN 
",26.98,Consumer Discretionary 
"VFC 
",50.9,Consumer Discretionary 
"VLO 
",66.75,Energy 
"VAR 
",89.78,Health Care 
"VTR 
",62.22,Real Estate 
"VRSN 
",80.62,Information Technology 
"VRSK 
",81.08,Industrials 
"VZ 
",52.25,Telecommunications Services 
"VRTX 
",82.52,Health Care 
"VIAB 
",39.7692,Consumer Discretionary 
"V 
",81.59,Information Technology 
"VNO 
",106.2,Real Estate 
"VMC 
",127.3,Materials 
"WMT 
",68.11,Consumer Staples 
"WBA 
",84.12,Consumer Staples 
"DIS 
",108.16,Consumer Discretionary 
"WM 
",69.59,Industrials 
"WAT 
",143.1,Health Care 
"WEC 
",59.38,Utilities 
"WFC 
",54.27,Financials 
"HCN 
",67.08,Real Estate 
"WDC 
",73.2392,Information Technology 
"WU 
",21.85,Information Technology 
"WRK 
",51.68,Materials 
"WY 
",30.5,Real Estate 
"WHR 
",186.01,Consumer Discretionary 
"WFM 
",31.21,Consumer Staples 
"WMB 
",28.34,Energy 
"WLTW 
",126.17,Financials 
"WYN 
",77.15,Consumer Discretionary 
"WYNN 
",91.98,Consumer Discretionary 
"XEL 
",41.33,Utilities 
"XRX 
",7.02,Information Technology 
"XLNX 
",58.14,Information Technology 
"XL 
",37.42,Financials 
"XYL 
",48.43,Industrials 
"YHOO 
",42.03,Information Technology 
"YUM 
",64.36,Consumer Discretionary 
"ZBH 
",115.47,Health Care 
"ZION 
",42.465,Financials 
"ZTS 
",53.3,Health Care 
